text_a,text_b,label
"Kelihatannya memang sepele , tetapi ternyata jalan kaki punya segudang manfaat buat tubuh .",jalan kaki-sepele,1
"Kelihatannya memang sepele , tetapi ternyata jalan kaki punya segudang manfaat buat tubuh .",jalan kaki-punya segudang manfaat,1
Pandemi virus corona ( Coronavirus Disease - 2019 / Covid - 19 ) yang semakin terkendali membuat bekerja dari rumah alias Work from Home ( WFH ) perlahan ditinggalkan .,pandemi virus corona ( coronavirus disease - 2019 / covid - 19 )-semakin terkendali,1
"Karena masuk dalam kategori VIP Hospitality , maka setiap pemilik tiket berhak menikmati fasilitas makan , minum , sampai camilan dalam ruangan tanpa harus pergi ke keluar .",pemilik tiket-berhak menikmati fasilitas,1
"Dari bisnis ini , Nuke bahkan sudah bolak-balik ke Korea dan bertemu dengan supplier untuk membahas tren di industri K - pop .",nuke-bahkan sudah bolak-balik ke korea,1
"Misalnya dari wilayah Lengkong ke Sagaranten , sekarang 99 Km , dengan JTS dibangun cukup 23 Km .",jts-cukup 23 km,1
"Jika tidak segera dihapus , ada kemungkinan data Anda bisa dicuri .",data-dicuri,1
"Ajang bertaraf internasional itu akan berlangsung di Lombok , Nusa Tenggara Barat ( NTB ) , pada 18 - 20 Maret .",ajang-bertaraf internasional,1
Tak heran jika Kota Norwich disebut-sebut sebagai salah satu kota di Inggris yang paling klasik .,kota norwich-paling klasik,1
"Sementara , Billie Eilish sukses menggebrak panggung Coachella tahun 2019 .",panggung coachella tahun 2019-sukses menggebrak,1
"Bahkan , kesalahan metode ini yang membuat Bumiputera sakit selama 25 tahun .",metode-kesalahan,1
"Bahkan , kesalahan metode ini yang membuat Bumiputera sakit selama 25 tahun .",metode-sakit,0
"Bahkan , kesalahan metode ini yang membuat Bumiputera sakit selama 25 tahun .",bumiputera-kesalahan,0
"Bahkan , kesalahan metode ini yang membuat Bumiputera sakit selama 25 tahun .",bumiputera-sakit,1
"Jalan penghubung antara wilayah Bandung - Cirebon tepat nya di Dusun Cireki , Kecamatan Tomo , Kabupaten Sumedang , Jawa Barat , ambles sejak beberapa hari lalu .",jalan penghubung antara wilayah bandung - cirebon-ambles,1
"Meski begitu , pihak agensi membantah rumor tersebut dengan mengatakan bahwa Son Ye Jin dan Hyun Bin tidak pergi liburan berdua , hanya kebetulan bertemu di sana .",rumor-membantah,1
"Untuk itu , pihak nya meminta Pemkot Surabaya melakukan perbaikan jalan rusak .",jalan-rusak,1
"Akan tetapi , mencari keuntungan dengan menaikkan harga terlalu tinggi atau aji mumpung dinilai kurang baik untuk prospek jangka panjang Kawasan Mandalika .",menaikkan harga-terlalu tinggi,1
"Akan tetapi , mencari keuntungan dengan menaikkan harga terlalu tinggi atau aji mumpung dinilai kurang baik untuk prospek jangka panjang Kawasan Mandalika .",menaikkan harga-kurang baik,1
""" Kami mengimbau kepada pengemudi yang akan melalui jalan ambles Cireki , agar senantiasa mengantre apabila terjadi kepadatan arus lalu lintas dan tidak melawan arus ( mengambil lajur berlawanan ) , "" tutur Dedi .",cireki-ambles,1
PT Pertamina ( Persero ) dan BP Tangguh berkomitmen untuk memasok 5 kargo gas alam cair untuk pembangkit listrik milik PLN .,pt pertamina ( persero )-tangguh berkomitmen,1
Hal itu dilakukan sebagai bentuk sanksi AS atas invasi Rusia ke Ukraina .,hal itu-sanksi,1
"Secara bulanan , Desember 2021 kemarin kunjungan wisatawan mancanegara naik 8,6 % atau mencapai 163,6 ribu kunjungan , dari bulan sebelumnya 150,6 ribu kunjungan .",kunjungan wisatawan mancanegara-naik,1
"Sebab , selama pandemi begitu banyak kabar duka yang mengudara , baik kematian akibat Covid - 19 maupun orang-orang yang kehilangan pekerjaan .",kabar duka yang mengudara-kabar duka yang mengudara,1
"Sebab , selama pandemi begitu banyak kabar duka yang mengudara , baik kematian akibat Covid - 19 maupun orang-orang yang kehilangan pekerjaan .",kabar duka yang mengudara-kematian,0
"Sebab , selama pandemi begitu banyak kabar duka yang mengudara , baik kematian akibat Covid - 19 maupun orang-orang yang kehilangan pekerjaan .",kabar duka yang mengudara-kehilangan,0
"Sebab , selama pandemi begitu banyak kabar duka yang mengudara , baik kematian akibat Covid - 19 maupun orang-orang yang kehilangan pekerjaan .",covid - 19-kabar duka yang mengudara,0
"Sebab , selama pandemi begitu banyak kabar duka yang mengudara , baik kematian akibat Covid - 19 maupun orang-orang yang kehilangan pekerjaan .",covid - 19-kematian,1
"Sebab , selama pandemi begitu banyak kabar duka yang mengudara , baik kematian akibat Covid - 19 maupun orang-orang yang kehilangan pekerjaan .",covid - 19-kehilangan,0
