text_a,text_b,label
< filler > iya kalau untuk mengenai kartu diskon memang tapi tidak ada ibu,kartu diskon-tidak ada,1
< filler > baik untuk reset password selain melalui kami bisa juga melalui < filler > website kami di www dot bca dot co dot id slash credit card saat ini kami bantu untuk resetkan terlebih dahulu ya,reset password-bisa,1
di mana kami merasa itu bukan transaksi dari kami ibu,transaksi-merasa itu bukan,1
tidak bisa digunakan sebelum ada pergantian,digunakan-tidak bisa,1
kami bantu untuk cek terlebih dahulu benar sekali status nya dalam kondisi terblokir,status-terblokir,1
ini kartu atm ibu < filler > hilang atau tertelan di dalam mesin atm,kartu atm-hilang,1
ini kartu atm ibu < filler > hilang atau tertelan di dalam mesin atm,kartu atm-tertelan,1
proses laporan sudah diselesaikan,proses laporan-sudah diselesaikan,1
id - nya dua satu kosong tujuh lima satu tujuh enam tiga delapan proses laporan sudah kami selesaikan silakan registrasi saja di mesin atm ya pak,proses laporan-sudah kami selesaikan,1
baru ingat bahwa memang bapak lupa dengan password sehingga tidak bisa buka id < lap >,password-lupa,1
baru ingat bahwa memang bapak lupa dengan password sehingga tidak bisa buka id < lap >,password-tidak bisa,0
baru ingat bahwa memang bapak lupa dengan password sehingga tidak bisa buka id < lap >,buka id-lupa,0
baru ingat bahwa memang bapak lupa dengan password sehingga tidak bisa buka id < lap >,buka id-tidak bisa,1
betul mengenai kartu diskon itu memang tidak ada di bca seperti itu,kartu diskon-tidak ada,1
tapi enggak bisa masuk harus ke < ate > register ke atm gitu,masuk-enggak bisa,1
< filler > status gagal tanggal,status-gagal,1
atas permintaan langsung dari pak joni yang terhubung dengan nomor customer - nya di satu dua tujuh enam delapan enam tujuh dua perihal pengajuan hapus uang iuran tahunan nya yang tercetak di billing tagihan dua puluh satu oktober dua ribu delapan belas sudah berhasil dibantu buatkan laporan pengajuan hapus nya oleh saya firan dengan id laporan nya pak ingin dicatat,pengajuan hapus uang iuran tahunan-sudah berhasil,1
mbak tolong atm saya diblokir nih mbak ada yang ngambil barusan mbak euy,atm-diblokir,1
mbak tolong atm saya diblokir nih mbak ada yang ngambil barusan mbak euy,atm-ada yang ngambil,1
ini sudah ada < filler > dana masuk lagi sudah ada refund dana nya bu di tanggal yang sama,refund dana-sudah ada,1
karena kalau dari kami memang pengecekan untuk visa corporate pun itu terbatas seperti itu ya bu,pengecekan-terbatas,1
