input,output,se_order,paradigm
Extract with format >> aspect : <extra_id_0> | Haru on Park S is simply disgusting .,<extra_id_0> Haru on Park S,a,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | PAPERS :","<extra_id_0> PAPERS <extra_id_1> noun, plural ; <extra_id_2> : <extra_id_3> colon",non_absa,
Extract with format >> opinion : <extra_id_0> | We paid and left because we didn ' t feel like arguing any more .,<extra_id_0> arguing,o,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | All the people that I bring there go back on their own and bring THEIR friends !",<extra_id_0> restaurant miscellaneous <extra_id_1> positive,cs,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Planet Thai is great !",<extra_id_0> Planet Thai <extra_id_1> positive,as,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | Terrible would be a compliment !",<extra_id_0> NULL <extra_id_1> restaurant general <extra_id_2> Terrible <extra_id_3> negative,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Definately check it out ! ! !",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",<extra_id_0> menu <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive ; <extra_id_4> NULL <extra_id_5> positive,as,extraction
Extract with format >> category : <extra_id_0> | Watch the talented belly dancers as you enjoy delicious baba ganoush that ' s more lemony than smoky .,<extra_id_0> food quality ; <extra_id_1> ambience general,c,extraction
"Extract with format >> opinion : <extra_id_0> | First of all , this place is *not* romantic , as claimed by Citysearch ' s editorial review .",<extra_id_0> *not* romantic,o,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | Guaranteed to be a tasty experience ! )",<extra_id_0> NULL <extra_id_1> tasty,ao,extraction
"Extract with format >> category : <extra_id_0> | The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",<extra_id_0> restaurant miscellaneous ; <extra_id_1> food style_options ; <extra_id_2> food quality ; <extra_id_3> service general,c,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese . . . both very tasty .",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> food quality <extra_id_3> positive ; <extra_id_4> food quality <extra_id_5> positive,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | The fight is putting a tight squeeze on profits of many , threatening to drive the smallest ones out of business and straining relations between the national fast-food chains and their franchisees .","<extra_id_0> The <extra_id_1> determiner ; <extra_id_2> fight <extra_id_3> noun, singular or mass ; <extra_id_4> is <extra_id_5> verb, 3rd person singular present ; <extra_id_6> putting <extra_id_7> verb, gerund or present participle ; <extra_id_8> a <extra_id_9> determiner ; <extra_id_10> tight <extra_id_11> adjective ; <extra_id_12> squeeze <extra_id_13> noun, singular or mass ; <extra_id_14> on <extra_id_15> preposition or subordinating conjunction ; <extra_id_16> profits <extra_id_17> noun, plural ; <extra_id_18> of <extra_id_19> preposition or subordinating conjunction ; <extra_id_20> many <extra_id_21> adjective ; <extra_id_22> , <extra_id_23> comma ; <extra_id_24> threatening <extra_id_25> verb, gerund or present participle ; <extra_id_26> to <extra_id_27> to ; <extra_id_28> drive <extra_id_29> verb, base form ; <extra_id_30> the <extra_id_31> determiner ; <extra_id_32> smallest <extra_id_33> adjective, superlative ; <extra_id_34> ones <extra_id_35> noun, plural ; <extra_id_36> out <extra_id_37> preposition or subordinating conjunction ; <extra_id_38> of <extra_id_39> preposition or subordinating conjunction ; <extra_id_40> business <extra_id_41> noun, singular or mass ; <extra_id_42> and <extra_id_43> coordinating conjunction ; <extra_id_44> straining <extra_id_45> verb, gerund or present participle ; <extra_id_46> relations <extra_id_47> noun, plural ; <extra_id_48> between <extra_id_49> preposition or subordinating conjunction ; <extra_id_50> the <extra_id_51> determiner ; <extra_id_52> national <extra_id_53> adjective ; <extra_id_54> fast-food <extra_id_55> noun, singular or mass ; <extra_id_56> chains <extra_id_57> noun, plural ; <extra_id_58> and <extra_id_59> coordinating conjunction ; <extra_id_60> their <extra_id_61> possessive pronoun ; <extra_id_62> franchisees <extra_id_63> noun, plural ; <extra_id_64> . <extra_id_65> period",non_absa,
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | However , once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair , ( sometimes you have to settle when it ' s your only option ) , I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .",<extra_id_0> kimchee <extra_id_1> negative ; <extra_id_2> Korean fair <extra_id_3> negative,as,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",<extra_id_0> spicy tuna roll <extra_id_1> food quality <extra_id_2> good <extra_id_3> positive ; <extra_id_4> rock shrimp tempura <extra_id_5> food quality <extra_id_6> awesome <extra_id_7> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | I absolutely love this place ! ! !",<extra_id_0> place <extra_id_1> positive,as,extraction
Extract with format >> category : <extra_id_0> | The lox is always fresh too .,<extra_id_0> food quality,c,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | It was divine melts in your mouth .",<extra_id_0> food quality <extra_id_1> positive,cs,extraction
Extract with format >> category : <extra_id_0> | I love this place,<extra_id_0> restaurant general,c,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | One of us actually liked the expresso - that ' s it .",<extra_id_0> expresso <extra_id_1> positive,as,extraction
"Extract with format >> opinion : <extra_id_0> | THe back garden sitting area is very pleasant , where you can see their personal herb garden .",<extra_id_0> pleasant,o,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | The food here is rather good , but only if you like to wait for it .",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> service general <extra_id_3> negative,cs,extraction
