input,output,se_order,paradigm
Go here for a romantic dinner but not for an all out wow dining experience .| category : <extra_id_0>,<extra_id_0> ambience general,c,extraction
"But after last night , Spice Grill is the only place I ' m eating indian cuisine .| category : <extra_id_0>",<extra_id_0> food quality,c,extraction
"My son and his girlfriend both wanted cheeseburgers and they were huge !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> cheeseburgers <extra_id_1> neutral,as,extraction
"As BFC does n ' t take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated , which can be over an hour later !| aspect : <extra_id_0>",<extra_id_0> BFC ; <extra_id_1> front of house staff ; <extra_id_2> NULL,a,extraction
"The food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .| opinion : <extra_id_0>",<extra_id_0> delicious ; <extra_id_1> never a disappointment ; <extra_id_2> delicious ; <extra_id_3> delicious,o,extraction
"A beautifully designed dreamy Egyptian restaurant that gets sceney at night .| aspect : <extra_id_0> ,opinion : <extra_id_1>",<extra_id_0> Egyptian restaurant <extra_id_1> dreamy,ao,extraction
"If you do n ' t mind pre - sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .| category : <extra_id_0>",<extra_id_0> food quality ; <extra_id_1> service general ; <extra_id_2> restaurant miscellaneous,c,extraction
Wait staff is blantently unappreciative of your business but its the best pie on the UWS !| aspect : <extra_id_0>,<extra_id_0> Wait staff ; <extra_id_1> pie,a,extraction
Great pizza and fantastic service .| aspect : <extra_id_0>,<extra_id_0> pizza ; <extra_id_1> service,a,extraction
The view is breathtaking the service is top notch . . . the ambiance is wonderful .| opinion : <extra_id_0>,<extra_id_0> breathtaking ; <extra_id_1> top notch ; <extra_id_2> wonderful,o,extraction
"Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went .| category : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> location general <extra_id_3> positive,cs,extraction
Food is great and inexpensive .| aspect : <extra_id_0>,<extra_id_0> Food ; <extra_id_1> Food,a,extraction
"Although the tables may be closely situated , the candle - light , food quality and service overcompensate .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> candle - light <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive ; <extra_id_4> service <extra_id_5> positive ; <extra_id_6> tables <extra_id_7> negative,as,extraction
"first it took us a long time to find the place .| aspect : <extra_id_0> ,opinion : <extra_id_1>",<extra_id_0> place <extra_id_1> took us a long time,ao,extraction
"I went to Areo on a Sunday afternoon with four of my girlfriends , and spent three enjoyable hours there .| opinion : <extra_id_0>",<extra_id_0> enjoyable,o,extraction
The only beverage we did receive was water in dirty glasses !| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
"The waitress , seems to be more concerned of looking good than actually waitressing .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> waitress <extra_id_1> negative,as,extraction
"I went there for lunch and it was not as good as I expected from the reviews I read .| aspect : <extra_id_0> ,opinion : <extra_id_1>",<extra_id_0> lunch <extra_id_1> not as good as I expected,ao,extraction
"All of the pizzas are terrific and the price is even better !| category : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> restaurant prices <extra_id_3> positive,cs,extraction
"The wine list is also really nice .| category : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> drinks style_options <extra_id_1> positive,cs,extraction
Not impressed with the food .| opinion : <extra_id_0>,<extra_id_0> Not impressed,o,extraction
I look forward to eating here again| category : <extra_id_0>,<extra_id_0> restaurant general,c,extraction
"Great food and the prices are very reasonable .| aspect : <extra_id_0> ,opinion : <extra_id_1>",<extra_id_0> food <extra_id_1> Great ; <extra_id_2> NULL <extra_id_3> reasonable,ao,extraction
"I have never been so disgusted by both food an service .| aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3>",<extra_id_0> food <extra_id_1> food quality <extra_id_2> disgusted <extra_id_3> negative ; <extra_id_4> service <extra_id_5> service general <extra_id_6> disgusted <extra_id_7> negative,acos,extraction
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )| aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3>","<extra_id_0> asparagus , truffle oil , parmesan bruschetta <extra_id_1> food quality <extra_id_2> winner <extra_id_3> positive",acos,extraction
A Thai restaurant out of rice during dinner ?| category : <extra_id_0>,<extra_id_0> restaurant miscellaneous,c,extraction
Hands down the best pizza on the planet .| opinion : <extra_id_0>,<extra_id_0> best,o,extraction
"I ' ve been many time and have never been disappointed .| aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3>",<extra_id_0> NULL <extra_id_1> restaurant general <extra_id_2> never been disappointed <extra_id_3> positive,acos,extraction
"This is such a lovely , peaceful place to eat outside .| aspect : <extra_id_0>",<extra_id_0> place ; <extra_id_1> place,a,extraction
"Calling the place Hampton Chutney Co . does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .| category : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> restaurant general <extra_id_1> negative ; <extra_id_2> ambience general <extra_id_3> negative ; <extra_id_4> service general <extra_id_5> negative,cs,extraction
"SO GOOD| aspect : <extra_id_0> ,opinion : <extra_id_1>",<extra_id_0> NULL <extra_id_1> GOOD,ao,extraction
"the pad se ew chicken was delicious , however the pad thai was far too oily .| aspect : <extra_id_0>",<extra_id_0> pad se ew chicken ; <extra_id_1> pad thai,a,extraction
"When we sat , we got great and fast service .| aspect : <extra_id_0>",<extra_id_0> service ; <extra_id_1> service,a,extraction
"Try green curry with vegetables .| aspect : <extra_id_0> ,opinion : <extra_id_1>",<extra_id_0> green curry with vegetables <extra_id_1> Try,ao,extraction
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai .| aspect : <extra_id_0>,<extra_id_0> beef and noodle soup dishes,a,extraction
Mine tasted like the bartender had forgotten to add the tequila .| category : <extra_id_0>,<extra_id_0> drinks quality,c,extraction
Have been several times and it never dissapoints .| opinion : <extra_id_0>,<extra_id_0> never dissapoints,o,extraction
"We ate at this Thai place following the reviews but very unhappy with the foods .| aspect : <extra_id_0> ,opinion : <extra_id_1>",<extra_id_0> foods <extra_id_1> unhappy,ao,extraction
