text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
The food was delicious and clearly fresh ingredients were used .,extract aste triplet :,"[{'aspect': 'food', 'opinion': 'delicious', 'sentiment': 'positive'}, {'aspect': 'ingredients', 'opinion': 'fresh', 'sentiment': 'positive'}]","[{'aspect': 'ingredients', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'delicious', 'sentiment': 'positive'}]","[{'aspect': 'ingredients', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'delicious', 'sentiment': 'positive'}]","[{'aspect': 'ingredients', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'delicious', 'sentiment': 'positive'}]","[{'aspect': 'ingredients', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'delicious', 'sentiment': 'positive'}]","( food, delicious, positive ) ; ( ingredients, fresh, positive )"
I thought the food is n't cheap at all compared to Chinatown .,extract aste triplet :,"[{'aspect': 'food', 'opinion': ""is n't cheap"", 'sentiment': 'negative'}]","[{'aspect': 'food', 'opinion': 'cheap', 'sentiment': 'negative'}]","[{'aspect': 'food', 'opinion': 'cheap', 'sentiment': 'negative'}]","[{'aspect': 'food', 'opinion': 'cheap', 'sentiment': 'negative'}]","[{'aspect': 'food', 'opinion': 'cheap', 'sentiment': 'negative'}]","( food, cheap, negative )"
"The pasta primavera was outstanding as well , lots of fresh veggies .",extract aste triplet :,"[{'aspect': 'pasta primavera', 'opinion': 'outstanding', 'sentiment': 'positive'}, {'aspect': 'fresh veggies', 'opinion': 'lots', 'sentiment': 'positive'}]","[{'aspect': 'veggies', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'pasta primavera', 'opinion': 'outstanding', 'sentiment': 'positive'}]","[{'aspect': 'veggies', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'pasta primavera', 'opinion': 'outstanding', 'sentiment': 'positive'}]","[{'aspect': 'veggies', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'pasta primavera', 'opinion': 'outstanding', 'sentiment': 'positive'}]","[{'aspect': 'veggies', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'pasta primavera', 'opinion': 'outstanding', 'sentiment': 'positive'}]","( pasta primavera, outstanding, positive ) ; ( veggies, fresh, positive )"
You must try the garlic soup !,extract aste triplet :,"[{'aspect': 'garlic soup', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'garlic soup', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'garlic soup', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'garlic soup', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'garlic soup', 'opinion': 'try', 'sentiment': 'positive'}]","( garlic soup, try, positive )"
"Yes , they 're a bit more expensive then typical , but then again , so is their food .",extract aste triplet :,"[{'aspect': 'food', 'opinion': 'more expensive then typical', 'sentiment': 'positive'}]","[{'aspect': 'food', 'opinion': 'expensive', 'sentiment': 'neutral'}]","[{'aspect': 'food', 'opinion': 'expensive', 'sentiment': 'neutral'}]","[{'aspect': 'food', 'opinion': 'expensive', 'sentiment': 'neutral'}]","[{'aspect': 'food', 'opinion': 'expensive', 'sentiment': 'neutral'}]","( food, expensive, neutral )"
Intimate but charming interior with extremely friendly and attentive service .,extract aste triplet :,"[{'aspect': 'interior', 'opinion': 'charming', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'friendly', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'charming', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'Intimate', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'friendly', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'charming', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'Intimate', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'friendly', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'charming', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'Intimate', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'friendly', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'attentive', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'charming', 'sentiment': 'positive'}, {'aspect': 'interior', 'opinion': 'Intimate', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'friendly', 'sentiment': 'positive'}]","( interior, Intimate, positive ) ; ( interior, charming, positive ) ; ( service, friendly, positive ) ; ( service, attentive, positive )"
The sushi is reasonably priced and fresh .,extract aste triplet :,"[{'aspect': 'sushi', 'opinion': 'reasonably priced', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'priced', 'opinion': 'reasonably', 'sentiment': 'positive'}]","[{'aspect': 'priced', 'opinion': 'reasonably', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'reasonably priced', 'sentiment': 'positive'}]","[{'aspect': 'priced', 'opinion': 'reasonably', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'reasonably priced', 'sentiment': 'positive'}]","[{'aspect': 'priced', 'opinion': 'reasonably', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'reasonably priced', 'sentiment': 'positive'}]","[{'aspect': 'priced', 'opinion': 'reasonably', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'sushi', 'opinion': 'reasonably priced', 'sentiment': 'positive'}]","( sushi, reasonably priced, positive ) ; ( sushi, fresh, positive ) ; ( priced, reasonably, positive )"
"the homemade Guacamole , the unbelievable entree , and thee most amazing deserts .",extract aste triplet :,"[{'aspect': 'homemade Guacamole', 'opinion': 'unbelievable', 'sentiment': 'positive'}, {'aspect': 'homemade Guacamole', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'entree', 'opinion': 'unbelievable', 'sentiment': 'positive'}, {'aspect': 'deserts', 'opinion': 'amazing', 'sentiment': 'positive'}]","[{'aspect': 'deserts', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'entree', 'opinion': 'unbelievable', 'sentiment': 'positive'}, {'aspect': 'Guacamole', 'opinion': 'homemade', 'sentiment': 'positive'}]","[{'aspect': 'deserts', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'entree', 'opinion': 'unbelievable', 'sentiment': 'positive'}, {'aspect': 'Guacamole', 'opinion': 'homemade', 'sentiment': 'positive'}]","[{'aspect': 'deserts', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'entree', 'opinion': 'unbelievable', 'sentiment': 'positive'}, {'aspect': 'Guacamole', 'opinion': 'homemade', 'sentiment': 'positive'}]","[{'aspect': 'deserts', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'entree', 'opinion': 'unbelievable', 'sentiment': 'positive'}, {'aspect': 'Guacamole', 'opinion': 'homemade', 'sentiment': 'positive'}]","( Guacamole, homemade, positive ) ; ( entree, unbelievable, positive ) ; ( deserts, amazing, positive )"
Both a number of the appetizer and pasta specials were amazing .,extract aste triplet :,"[{'aspect': 'pasta specials', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'appetizer', 'opinion': 'amazing', 'sentiment': 'positive'}]","[{'aspect': 'pasta specials', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'appetizer', 'opinion': 'amazing', 'sentiment': 'positive'}]","[{'aspect': 'pasta specials', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'appetizer', 'opinion': 'amazing', 'sentiment': 'positive'}]","[{'aspect': 'pasta specials', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'appetizer', 'opinion': 'amazing', 'sentiment': 'positive'}]","[{'aspect': 'pasta specials', 'opinion': 'amazing', 'sentiment': 'positive'}, {'aspect': 'appetizer', 'opinion': 'amazing', 'sentiment': 'positive'}]","( appetizer, amazing, positive ) ; ( pasta specials, amazing, positive )"
Atmosphere is a bore .,extract aste triplet :,"[{'aspect': 'Atmosphere', 'opinion': 'bore', 'sentiment': 'negative'}]","[{'aspect': 'Atmosphere', 'opinion': 'bore', 'sentiment': 'negative'}]","[{'aspect': 'Atmosphere', 'opinion': 'bore', 'sentiment': 'negative'}]","[{'aspect': 'Atmosphere', 'opinion': 'bore', 'sentiment': 'negative'}]","[{'aspect': 'Atmosphere', 'opinion': 'bore', 'sentiment': 'negative'}]","( Atmosphere, bore, negative )"
"While it was large and a bit noisy , the drinks were fantastic , and the food was superb .",extract aste triplet :,"[{'aspect': 'drinks', 'opinion': 'fantastic', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'superb', 'sentiment': 'positive'}]","[{'aspect': 'drinks', 'opinion': 'fantastic', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'superb', 'sentiment': 'positive'}]","[{'aspect': 'drinks', 'opinion': 'fantastic', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'superb', 'sentiment': 'positive'}]","[{'aspect': 'drinks', 'opinion': 'fantastic', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'superb', 'sentiment': 'positive'}]","[{'aspect': 'drinks', 'opinion': 'fantastic', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'superb', 'sentiment': 'positive'}]","( drinks, fantastic, positive ) ; ( food, superb, positive )"
The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else .,extract aste triplet :,"[{'aspect': 'waiter', 'opinion': 'annoyed', 'sentiment': 'negative'}]","[{'aspect': 'manager', 'opinion': 'annoyed', 'sentiment': 'negative'}]","[{'aspect': 'manager', 'opinion': 'annoyed', 'sentiment': 'negative'}]","[{'aspect': 'manager', 'opinion': 'annoyed', 'sentiment': 'negative'}]","[{'aspect': 'manager', 'opinion': 'annoyed', 'sentiment': 'negative'}]","( manager, annoyed, negative )"
Definitely try the taglierini with truffles - it was incredible .,extract aste triplet :,"[{'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}, {'aspect': 'taglierini with truffles', 'opinion': 'incredible', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","( taglierini with truffles, try, positive )"
The chicken dinner was real good .,extract aste triplet :,"[{'aspect': 'chicken dinner', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'chicken dinner', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'chicken dinner', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'chicken dinner', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'chicken dinner', 'opinion': 'good', 'sentiment': 'positive'}]","( chicken dinner, good, positive )"
The service is excellent and always informative without an air .,extract aste triplet :,"[{'aspect': 'service', 'opinion': 'excellent', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'informative', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'informative', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'excellent', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'informative', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'excellent', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'informative', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'excellent', 'sentiment': 'positive'}]","[{'aspect': 'service', 'opinion': 'informative', 'sentiment': 'positive'}, {'aspect': 'service', 'opinion': 'excellent', 'sentiment': 'positive'}]","( service, excellent, positive ) ; ( service, informative, positive )"
The food was as creative as the decor and both worked .,extract aste triplet :,"[{'aspect': 'food', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'decor', 'opinion': 'creative', 'sentiment': 'positive'}]","[{'aspect': 'decor', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'creative', 'sentiment': 'positive'}]","[{'aspect': 'decor', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'creative', 'sentiment': 'positive'}]","[{'aspect': 'decor', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'creative', 'sentiment': 'positive'}]","[{'aspect': 'decor', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'creative', 'sentiment': 'positive'}]","( food, creative, positive ) ; ( decor, creative, positive )"
Just go in and sample the greatest french food west of Daniel .,extract aste triplet :,"[{'aspect': 'french food', 'opinion': 'greatest', 'sentiment': 'positive'}]","[{'aspect': 'french food', 'opinion': 'greatest', 'sentiment': 'positive'}]","[{'aspect': 'french food', 'opinion': 'greatest', 'sentiment': 'positive'}]","[{'aspect': 'french food', 'opinion': 'greatest', 'sentiment': 'positive'}]","[{'aspect': 'french food', 'opinion': 'greatest', 'sentiment': 'positive'}]","( french food, greatest, positive )"
We always enjoy the pizza .,extract aste triplet :,"[{'aspect': 'pizza', 'opinion': 'enjoy', 'sentiment': 'positive'}]","[{'aspect': 'pizza', 'opinion': 'enjoy', 'sentiment': 'positive'}]","[{'aspect': 'pizza', 'opinion': 'enjoy', 'sentiment': 'positive'}]","[{'aspect': 'pizza', 'opinion': 'enjoy', 'sentiment': 'positive'}]","[{'aspect': 'pizza', 'opinion': 'enjoy', 'sentiment': 'positive'}]","( pizza, enjoy, positive )"
THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED .,extract aste triplet :,"[{'aspect': 'LASAGNA', 'opinion': 'BEST', 'sentiment': 'positive'}]","[{'aspect': 'LASAGNA', 'opinion': 'BEST', 'sentiment': 'positive'}]","[{'aspect': 'LASAGNA', 'opinion': 'BEST', 'sentiment': 'positive'}]","[{'aspect': 'LASAGNA', 'opinion': 'BEST', 'sentiment': 'positive'}]","[{'aspect': 'LASAGNA', 'opinion': 'BEST', 'sentiment': 'positive'}]","( LASAGNA, BEST, positive )"
"It 's just everything ... the food , the atmosphere ... the incrediby kind and gracious hostess .",extract aste triplet :,"[{'aspect': 'hostess', 'opinion': 'kind', 'sentiment': 'positive'}, {'aspect': 'hostess', 'opinion': 'gracious', 'sentiment': 'positive'}]","[{'aspect': 'hostess', 'opinion': 'gracious', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'incrediby', 'sentiment': 'positive'}]","[{'aspect': 'hostess', 'opinion': 'gracious', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'incrediby', 'sentiment': 'positive'}]","[{'aspect': 'hostess', 'opinion': 'gracious', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'incrediby', 'sentiment': 'positive'}]","[{'aspect': 'hostess', 'opinion': 'gracious', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'incrediby', 'sentiment': 'positive'}]","( food, incrediby, positive ) ; ( hostess, gracious, positive )"
Not to sound too negative but be wary of the delivary .,extract aste triplet :,"[{'aspect': 'delivary', 'opinion': 'wary', 'sentiment': 'negative'}]","[{'aspect': 'delivary', 'opinion': 'be wary', 'sentiment': 'negative'}]","[{'aspect': 'delivary', 'opinion': 'be wary', 'sentiment': 'negative'}]","[{'aspect': 'delivary', 'opinion': 'be wary', 'sentiment': 'negative'}]","[{'aspect': 'delivary', 'opinion': 'be wary', 'sentiment': 'negative'}]","( delivary, be wary, negative )"
"for about eleven bucks you get a gigantic burrito ( or tacos ) , margarita , and dessert .",extract aste triplet :,"[{'aspect': 'burrito', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'tacos', 'opinion': 'gigantic', 'sentiment': 'positive'}]","[{'aspect': 'margarita', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'burrito', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'dessert', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'tacos', 'opinion': 'gigantic', 'sentiment': 'positive'}]","[{'aspect': 'margarita', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'burrito', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'dessert', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'tacos', 'opinion': 'gigantic', 'sentiment': 'positive'}]","[{'aspect': 'margarita', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'burrito', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'dessert', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'tacos', 'opinion': 'gigantic', 'sentiment': 'positive'}]","[{'aspect': 'margarita', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'burrito', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'dessert', 'opinion': 'gigantic', 'sentiment': 'positive'}, {'aspect': 'tacos', 'opinion': 'gigantic', 'sentiment': 'positive'}]","( burrito, gigantic, positive ) ; ( tacos, gigantic, positive ) ; ( margarita, gigantic, positive ) ; ( dessert, gigantic, positive )"
"The menu , which changes seasonally , shows both regional and international influences .",extract aste triplet :,"[{'aspect': 'menu', 'opinion': 'changes', 'sentiment': 'neutral'}]","[{'aspect': 'menu', 'opinion': 'changes seasonally', 'sentiment': 'positive'}]","[{'aspect': 'menu', 'opinion': 'changes seasonally', 'sentiment': 'positive'}]","[{'aspect': 'menu', 'opinion': 'changes seasonally', 'sentiment': 'positive'}]","[{'aspect': 'menu', 'opinion': 'changes seasonally', 'sentiment': 'positive'}]","( menu, changes seasonally, positive )"
