text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
lokasinya oke dan harganya masuk akal . terimakasih airy .,ekstraksi triplet aste :,"[{'aspect': 'lokasinya', 'opinion': 'oke', 'sentiment': 'positive'}, {'aspect': 'harganya', 'opinion': 'masuk akal', 'sentiment': 'positive'}]","[{'aspect': 'lokasinya', 'opinion': 'oke', 'sentiment': 'positive'}, {'aspect': 'harganya', 'opinion': 'masuk akal', 'sentiment': 'positive'}]","[{'aspect': 'lokasinya', 'opinion': 'oke', 'sentiment': 'positive'}, {'aspect': 'harganya', 'opinion': 'masuk akal', 'sentiment': 'positive'}]","[{'aspect': 'lokasinya', 'opinion': 'oke', 'sentiment': 'positive'}, {'aspect': 'harganya', 'opinion': 'masuk akal', 'sentiment': 'positive'}]","[{'aspect': 'lokasinya', 'opinion': 'oke', 'sentiment': 'positive'}, {'aspect': 'harganya', 'opinion': 'masuk akal', 'sentiment': 'positive'}]","( lokasinya, oke, positive ) ; ( harganya, masuk akal, positive )"
"pelayanan ramah , hotel baru , kamar mandi besar , tetapi sayangnya air panas untuk malam tidak menyala ( agak kecewa dengan ini ) .",ekstraksi triplet aste :,"[{'aspect': 'pelayanan', 'opinion': 'ramah', 'sentiment': 'positive'}, {'aspect': 'hotel', 'opinion': 'baru', 'sentiment': 'positive'}, {'aspect': 'kamar mandi', 'opinion': 'besar', 'sentiment': 'positive'}, {'aspect': 'air panas', 'opinion': 'tidak menyala', 'sentiment': 'negative'}]","[{'aspect': 'air panas', 'opinion': 'tidak menyala', 'sentiment': 'negative'}, {'aspect': 'kamar mandi', 'opinion': 'besar', 'sentiment': 'positive'}, {'aspect': 'pelayanan', 'opinion': 'ramah', 'sentiment': 'positive'}]","[{'aspect': 'air panas', 'opinion': 'tidak menyala', 'sentiment': 'negative'}, {'aspect': 'kamar mandi', 'opinion': 'besar', 'sentiment': 'positive'}, {'aspect': 'pelayanan', 'opinion': 'ramah', 'sentiment': 'positive'}]","[{'aspect': 'air panas', 'opinion': 'tidak menyala', 'sentiment': 'negative'}, {'aspect': 'kamar mandi', 'opinion': 'besar', 'sentiment': 'positive'}, {'aspect': 'pelayanan', 'opinion': 'ramah', 'sentiment': 'positive'}]","[{'aspect': 'air panas', 'opinion': 'tidak menyala', 'sentiment': 'negative'}, {'aspect': 'kamar mandi', 'opinion': 'besar', 'sentiment': 'positive'}, {'aspect': 'pelayanan', 'opinion': 'ramah', 'sentiment': 'positive'}]","( pelayanan, ramah, positive ) ; ( kamar mandi, besar, positive ) ; ( air panas, tidak menyala, negative )"
"baru pertama x menginap di airy rooms , staf nya ramah dan pelayanan nya pun cukup baik , kamar bersih dan nyaman dan dapat snack juga dari airy rooms . terimakasih airy rooms .",ekstraksi triplet aste :,"[{'aspect': 'staf nya', 'opinion': 'ramah', 'sentiment': 'positive'}, {'aspect': 'pelayanan nya', 'opinion': 'cukup baik', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'bersih', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'snack', 'opinion': 'dapat', 'sentiment': 'positive'}]","[{'aspect': 'kamar', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'pelayanan nya', 'opinion': 'cukup baik', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'bersih', 'sentiment': 'positive'}, {'aspect': 'staf nya', 'opinion': 'ramah', 'sentiment': 'positive'}, {'aspect': 'snack', 'opinion': 'dapat', 'sentiment': 'positive'}]","[{'aspect': 'kamar', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'pelayanan nya', 'opinion': 'cukup baik', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'bersih', 'sentiment': 'positive'}, {'aspect': 'staf nya', 'opinion': 'ramah', 'sentiment': 'positive'}, {'aspect': 'snack', 'opinion': 'dapat', 'sentiment': 'positive'}]","[{'aspect': 'kamar', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'pelayanan nya', 'opinion': 'cukup baik', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'bersih', 'sentiment': 'positive'}, {'aspect': 'staf nya', 'opinion': 'ramah', 'sentiment': 'positive'}, {'aspect': 'snack', 'opinion': 'dapat', 'sentiment': 'positive'}]","[{'aspect': 'kamar', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'pelayanan nya', 'opinion': 'cukup baik', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'bersih', 'sentiment': 'positive'}, {'aspect': 'staf nya', 'opinion': 'ramah', 'sentiment': 'positive'}, {'aspect': 'snack', 'opinion': 'dapat', 'sentiment': 'positive'}]","( staf nya, ramah, positive ) ; ( pelayanan nya, cukup baik, positive ) ; ( kamar, bersih, positive ) ; ( kamar, nyaman, positive ) ; ( snack, dapat, positive )"
"memuaskan , sendok sama garpu nya kurang bersih .",ekstraksi triplet aste :,"[{'aspect': 'sendok', 'opinion': 'kurang bersih', 'sentiment': 'negative'}, {'aspect': 'garpu', 'opinion': 'kurang bersih', 'sentiment': 'negative'}]","[{'aspect': 'sendok', 'opinion': 'kurang bersih', 'sentiment': 'negative'}, {'aspect': 'garpu nya', 'opinion': 'kurang bersih', 'sentiment': 'negative'}]","[{'aspect': 'sendok', 'opinion': 'kurang bersih', 'sentiment': 'negative'}, {'aspect': 'garpu nya', 'opinion': 'kurang bersih', 'sentiment': 'negative'}]","[{'aspect': 'sendok', 'opinion': 'kurang bersih', 'sentiment': 'negative'}, {'aspect': 'garpu nya', 'opinion': 'kurang bersih', 'sentiment': 'negative'}]","[{'aspect': 'sendok', 'opinion': 'kurang bersih', 'sentiment': 'negative'}, {'aspect': 'garpu nya', 'opinion': 'kurang bersih', 'sentiment': 'negative'}]","( sendok, kurang bersih, negative ) ; ( garpu nya, kurang bersih, negative )"
cukup memuaskan dan karyawan cukup ramah ramah .,ekstraksi triplet aste :,"[{'aspect': 'karyawan', 'opinion': 'cukup ramah ramah', 'sentiment': 'positive'}]","[{'aspect': 'karyawan', 'opinion': 'cukup ramah ramah', 'sentiment': 'positive'}]","[{'aspect': 'karyawan', 'opinion': 'cukup ramah ramah', 'sentiment': 'positive'}]","[{'aspect': 'karyawan', 'opinion': 'cukup ramah ramah', 'sentiment': 'positive'}]","[{'aspect': 'karyawan', 'opinion': 'cukup ramah ramah', 'sentiment': 'positive'}]","( karyawan, cukup ramah ramah, positive )"
"ketika saya ada masalah dengan ac kamar , dengan cepat pihak hotel mengganti kamar yang lebih baik .",ekstraksi triplet aste :,"[{'aspect': 'ac kamar', 'opinion': 'ada masalah', 'sentiment': 'negative'}, {'aspect': 'kamar', 'opinion': 'lebih baik', 'sentiment': 'positive'}]","[{'aspect': 'ac kamar', 'opinion': 'ada masalah', 'sentiment': 'negative'}]","[{'aspect': 'ac kamar', 'opinion': 'ada masalah', 'sentiment': 'negative'}]","[{'aspect': 'ac kamar', 'opinion': 'ada masalah', 'sentiment': 'negative'}]","[{'aspect': 'ac kamar', 'opinion': 'ada masalah', 'sentiment': 'negative'}]","( ac kamar, ada masalah, negative )"
"pelayanan yang mantap , .",ekstraksi triplet aste :,"[{'aspect': 'pelayanan', 'opinion': 'mantap', 'sentiment': 'positive'}]","[{'aspect': 'pelayanan', 'opinion': 'mantap', 'sentiment': 'positive'}]","[{'aspect': 'pelayanan', 'opinion': 'mantap', 'sentiment': 'positive'}]","[{'aspect': 'pelayanan', 'opinion': 'mantap', 'sentiment': 'positive'}]","[{'aspect': 'pelayanan', 'opinion': 'mantap', 'sentiment': 'positive'}]","( pelayanan, mantap, positive )"
tempat strategis karena akses ke alunalun selatan sangat dekat . sangat puas . bapak penjaganya juga sangat ramah .,ekstraksi triplet aste :,"[{'aspect': 'tempat', 'opinion': 'strategis', 'sentiment': 'positive'}, {'aspect': 'penjaganya', 'opinion': 'sangat ramah', 'sentiment': 'positive'}]","[{'aspect': 'penjaganya', 'opinion': 'sangat ramah', 'sentiment': 'positive'}, {'aspect': 'tempat', 'opinion': 'strategis', 'sentiment': 'positive'}]","[{'aspect': 'penjaganya', 'opinion': 'sangat ramah', 'sentiment': 'positive'}, {'aspect': 'tempat', 'opinion': 'strategis', 'sentiment': 'positive'}]","[{'aspect': 'penjaganya', 'opinion': 'sangat ramah', 'sentiment': 'positive'}, {'aspect': 'tempat', 'opinion': 'strategis', 'sentiment': 'positive'}]","[{'aspect': 'penjaganya', 'opinion': 'sangat ramah', 'sentiment': 'positive'}, {'aspect': 'tempat', 'opinion': 'strategis', 'sentiment': 'positive'}]","( tempat, strategis, positive ) ; ( penjaganya, sangat ramah, positive )"
tempat nyaman dan harga terjangkau bisa buat referensi yang mau liburan ke bali .,ekstraksi triplet aste :,"[{'aspect': 'tempat', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'harga', 'opinion': 'terjangkau', 'sentiment': 'positive'}]","[{'aspect': 'tempat', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'harga', 'opinion': 'terjangkau', 'sentiment': 'positive'}]","[{'aspect': 'tempat', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'harga', 'opinion': 'terjangkau', 'sentiment': 'positive'}]","[{'aspect': 'tempat', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'harga', 'opinion': 'terjangkau', 'sentiment': 'positive'}]","[{'aspect': 'tempat', 'opinion': 'nyaman', 'sentiment': 'positive'}, {'aspect': 'harga', 'opinion': 'terjangkau', 'sentiment': 'positive'}]","( tempat, nyaman, positive ) ; ( harga, terjangkau, positive )"
tambahkan jendela disetiap ruang kamar .,ekstraksi triplet aste :,[],[],[],[],[],NONE
