input,output,se_order,paradigm
"This place is incredibly tiny .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> tiny <extra_id_1> place,oa,extraction
"Not impressed with the food .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> negative,as,extraction
"however , it ' s the service that leaves a bad taste in my mouth .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"Great food , great prices , great service .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive ; <extra_id_4> service <extra_id_5> positive,as,extraction
"It ' s a rather cramped and busy restaurant and it closes early .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> restaurant <extra_id_1> negative ; <extra_id_2> restaurant <extra_id_3> negative ; <extra_id_4> restaurant <extra_id_5> negative,as,extraction
"I was pleasantly suprised .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> restaurant <extra_id_1> positive ; <extra_id_2> portions <extra_id_3> positive ; <extra_id_4> veal <extra_id_5> positive,as,extraction
"Prices are fair across the board for both food and bev .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food prices ; <extra_id_2> positive <extra_id_3> drinks prices,sc,extraction
"I think I ' ve had some the best meals of my life at minnow .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> meals <extra_id_1> positive,as,extraction
"Still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> quibbles <extra_id_1> NULL ; <extra_id_2> pour - your - own <extra_id_3> measures of liquers ; <extra_id_4> courtesey <extra_id_5> measures of liquers,oa,extraction
"The food is amazing . . . especially if you get the Chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> amazing <extra_id_1> food ; <extra_id_2> extensive <extra_id_3> selection of wines ; <extra_id_4> favourite <extra_id_5> Chef ' s tasting menu,oa,extraction
