text_a,text_b,label
Platform ini diangggap menggunakan skema money games dan banyak korban yang mengaku rugi besar usai mencoba mengais rezeki dari platform ini .,platform-diangggap menggunakan skema money games,1
Platform ini diangggap menggunakan skema money games dan banyak korban yang mengaku rugi besar usai mencoba mengais rezeki dari platform ini .,platform-banyak,0
Platform ini diangggap menggunakan skema money games dan banyak korban yang mengaku rugi besar usai mencoba mengais rezeki dari platform ini .,platform-mengaku rugi besar,0
Platform ini diangggap menggunakan skema money games dan banyak korban yang mengaku rugi besar usai mencoba mengais rezeki dari platform ini .,korban-diangggap menggunakan skema money games,0
Platform ini diangggap menggunakan skema money games dan banyak korban yang mengaku rugi besar usai mencoba mengais rezeki dari platform ini .,korban-banyak,1
Platform ini diangggap menggunakan skema money games dan banyak korban yang mengaku rugi besar usai mencoba mengais rezeki dari platform ini .,korban-mengaku rugi besar,1
Situs nya sering diblokir Kementerian Komunikasi dan Informatika ( Kominfo ) tetapi tetap lahir yang baru .,situs-sering diblokir,1
Binomo Cs menyediakan media untuk berjudi dengan melakukan aksi tebak-tebakan apakah harga suatu aset naik atau turun .,binomo cs-menyediakan media untuk berjudi,1
Binomo Cs menyediakan media untuk berjudi dengan melakukan aksi tebak-tebakan apakah harga suatu aset naik atau turun .,binomo cs-melakukan aksi tebak-tebakan,1
"Dalam kasus yang ekstrem , chart harga atau candle stick dapat dimanipulasi sedemikian rupa agar menguntungkan pihak bandar .",chart harga-dapat dimanipulasi,1
"Dalam kasus yang ekstrem , chart harga atau candle stick dapat dimanipulasi sedemikian rupa agar menguntungkan pihak bandar .",chart harga-agar menguntungkan pihak bandar,1
Menelusuri Asal - usul Binomo Tidak ada banyak informasi yang diketahui soal Binomo .,asal - usul binomo-tidak ada banyak informasi,1
"Menurut Pahala , hal itu akan memungkinkan Indonesia memiliki ketahanan energi , termasuk ketahanan energi yang lebih baik lagi .",ketahanan energi-lebih baik lagi,1
"Di mana kapasitas pengolahan BBM akan meningkat secara signifikan mencapai 1,4 juta barel per hari .",kapasitas pengolahan bbm-akan meningkat secara signifikan,1
""" Bukan hanya meningkatkan kapasitas tapi juga kualitas produk . Selain itu tentu peningkatan kapasitas kilang tersebut akan memungkinkan ada nya peningkatan produksi petrokimia , "" kata Pahala . Jakarta , CNBC Indonesia - MotoGP Mandalika 2022 telah berlangsung pada 18 - 20 Maret 2022 kemarin .",peningkatan kapasitas kilang-akan memungkinkan ada nya peningkatan produksi petrokimia,1
"Efek domino gelaran itu bukan hanya berdampak dalam arena balapan , melainkan juga di luar kawasan , salah satu nya kenaikan minat penjualan properti hunian di Mandalika dan Lombok .",efek domino-kenaikan minat penjualan properti hunian,1
Kondisi ini berbeda dibanding beberapa tahun lalu dimana minat untuk memiliki properti di wilayah NTB rendah .,minat untuk memiliki properti di wilayah ntb-rendah,1
"Sedangkan , ketika gelaran berskala internasional datang dan pergerakan ekonomi menjadi lebih hidup , investasi pun mulai berani masuk .",pergerakan ekonomi-menjadi lebih hidup,1
"Sedangkan , ketika gelaran berskala internasional datang dan pergerakan ekonomi menjadi lebih hidup , investasi pun mulai berani masuk .",pergerakan ekonomi-mulai berani masuk,0
"Sedangkan , ketika gelaran berskala internasional datang dan pergerakan ekonomi menjadi lebih hidup , investasi pun mulai berani masuk .",investasi-menjadi lebih hidup,0
"Sedangkan , ketika gelaran berskala internasional datang dan pergerakan ekonomi menjadi lebih hidup , investasi pun mulai berani masuk .",investasi-mulai berani masuk,1
