text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
I am so happy to have a wonderful Italian restaurant in my neighborhood .,extract opinion :,[{'opinion': 'wonderful'}],"[{'opinion': 'happy'}, {'opinion': 'wonderful'}]","[{'opinion': 'happy'}, {'opinion': 'wonderful'}]","[{'opinion': 'happy'}, {'opinion': 'wonderful'}]","[{'opinion': 'happy'}, {'opinion': 'wonderful'}]",( happy ) ; ( wonderful )
"Most importantly , we were so excited about the food after seeing the very creative menu .",extract aste triplet :,"[{'aspect': 'menu', 'opinion': 'creative', 'sentiment': 'positive'}]","[{'aspect': 'menu', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'excited', 'sentiment': 'positive'}]","[{'aspect': 'menu', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'excited', 'sentiment': 'positive'}]","[{'aspect': 'menu', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'excited', 'sentiment': 'positive'}]","[{'aspect': 'menu', 'opinion': 'creative', 'sentiment': 'positive'}, {'aspect': 'food', 'opinion': 'excited', 'sentiment': 'positive'}]","( food, excited, positive ) ; ( menu, creative, positive )"
"good sake , good food – i honestly do n't know much about japanese food at all .",extract uabsa duplet :,"[{'aspect': 'sake', 'sentiment': 'positive'}, {'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'sake', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'sake', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'sake', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'sake', 'sentiment': 'positive'}]","( sake, positive ) ; ( food, positive )"
I have a but here - there was a bathroom attendant in the restroom which was odd .,extract aste triplet :,"[{'aspect': 'restroom', 'opinion': 'odd', 'sentiment': 'negative'}]","[{'aspect': 'bathroom attendant', 'opinion': 'odd', 'sentiment': 'negative'}]","[{'aspect': 'bathroom attendant', 'opinion': 'odd', 'sentiment': 'negative'}]","[{'aspect': 'bathroom attendant', 'opinion': 'odd', 'sentiment': 'negative'}]","[{'aspect': 'bathroom attendant', 'opinion': 'odd', 'sentiment': 'negative'}]","( bathroom attendant, odd, negative )"
Caution - its real food for people who love the best .,extract aspect :,[{'aspect': 'food'}],[{'aspect': 'food'}],[{'aspect': 'food'}],[{'aspect': 'food'}],[{'aspect': 'food'}],( food )
"– In a age of incremental cost cutting in restaurants , its nice to see a place that bucks that trend , and just plain delivers high quality food and good service , period .",extract aspect :,"[{'aspect': 'food'}, {'aspect': 'service'}]","[{'aspect': 'service'}, {'aspect': 'food'}]","[{'aspect': 'service'}, {'aspect': 'food'}]","[{'aspect': 'service'}, {'aspect': 'food'}]","[{'aspect': 'service'}, {'aspect': 'food'}]",( food ) ; ( service )
"Your a sushi fan , you love expertly cut fish , great sake , a killer SOHO location , and of course : Salmon , Tuna , Fluke , Yellow Tail , Cod , Mackeral , Jellyfish , Sea Urchin , Shrimp , Lobster , Sea Bream , Trout , Milk Fish , Blue Fin Tuna , Eel , Crab , Sardine , Monk Fish , Roe , Scallop , Oysters , and a varity of Toro .",extract aope duplet :,"[{'aspect': 'fish', 'opinion': 'love expertly cut'}, {'aspect': 'sake', 'opinion': 'great'}, {'aspect': 'SOHO location', 'opinion': 'killer'}]","[{'aspect': 'fish', 'opinion': 'love'}, {'aspect': 'SOHO location', 'opinion': 'killer'}, {'aspect': 'sake', 'opinion': 'great'}]","[{'aspect': 'fish', 'opinion': 'love'}, {'aspect': 'SOHO location', 'opinion': 'killer'}, {'aspect': 'sake', 'opinion': 'great'}]","[{'aspect': 'fish', 'opinion': 'love'}, {'aspect': 'SOHO location', 'opinion': 'killer'}, {'aspect': 'sake', 'opinion': 'great'}]","[{'aspect': 'fish', 'opinion': 'love'}, {'aspect': 'SOHO location', 'opinion': 'killer'}, {'aspect': 'sake', 'opinion': 'great'}]","( fish, love ) ; ( sake, great ) ; ( SOHO location, killer )"
big thick pepperoni,extract uabsa duplet :,"[{'aspect': 'pepperoni', 'sentiment': 'positive'}]","[{'aspect': 'pepperoni', 'sentiment': 'positive'}]","[{'aspect': 'pepperoni', 'sentiment': 'positive'}]","[{'aspect': 'pepperoni', 'sentiment': 'positive'}]","[{'aspect': 'pepperoni', 'sentiment': 'positive'}]","( pepperoni, positive )"
Caution - its real food for people who love the best .,extract uabsa duplet :,"[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","( food, positive )"
One of the best Sushi place in town .,extract aope duplet :,"[{'aspect': 'Sushi place', 'opinion': 'best'}]","[{'aspect': 'Sushi place', 'opinion': 'best'}]","[{'aspect': 'Sushi place', 'opinion': 'best'}]","[{'aspect': 'Sushi place', 'opinion': 'best'}]","[{'aspect': 'Sushi place', 'opinion': 'best'}]","( Sushi place, best )"
